x,y
"#сниму квартиру #аренда 
Махмутлар  
Сниму квартиру 1+1 длительный срок
семейная пара 2 человека + 🐱 котик

Аренда до 700$ 
Инфраструктура комплекса",1
"Сниму квартиру 1+1 на долгий срок, мы с котиком , ищем квартиру с инфраструктурой , не Турецкий дом , от 3 этажа",1
Ищу квартиру посуточно,1
"#сниму квартиру #аренда 
Аланья 
Сниму квартиру 1+1 длительный срок
Аренда 700$
Помощь в оформлении ВНЖ
От собственника",1
"Сниму квартиру до 500$ Махмутлар, Аланья, Оба, Кестель от собственника
В личные сообщения, пожалуйста",1
Здравствуйте мне нужна квартира 1+1 Махмутлар от собственника бюджет 500$ оплата по месяцам заедем 26 ноября у кого есть квартиры отзовитесь в личку!!!,1
"Привет 😊 ищу квартиру в Алании 1+1 на длительный срок 
Если кто то ищет тоже(девушки) можем объединиться",1
здраствуйте нужна квартира в махмутларе или обе оплата по месячно минимум на месяц макс 6 месяцев бюджет от 400 -600 от собственника 1+1,1
"‼️СНИМУ ‼️
Квартиру 2+1 или 3+1
В современном жк с новым ремонтом!
На месяц с возможностью продления!
Без комиссии!
До 1400€ в месяц

Предложения только с фото в личку, Спасибо",1
"Ищу 1+1 тёплую, на южную сторону с начала-середины ноября. На 2+- месяца. Бюджет до 600-700. От собственника. Без комиссии риэлтеров и пр. Алания или Махмутлар. Близость к морю обязательна. Рассмотрю все варианты, в л/с.",1
"Ищу комнату на подселение либо же студию, бюджет 6000 лир, молодой парень, в лс",1
"Доброго времени суток.
.
ИЩЕМ хорошую квартиру в Алании, Махмутлар, Кестел, Каргыджак
от 1+1
с НОЯБРЯ, крайний срок заселения 10.11.2022
Срок на 1-2 месяца
.
Мы семья без детей, чистоту идеальную гарантируем, оплата в любой валюте нал/безнал.
.
Желательно 700 $
+79033888371",1
"🏠Сниму 2+1

👍На долгосрок, от 6 месяцев
‼️Только с ВНЖ либо с возможностью сделать ВНЖ на другой адрес
‼️Рассматриваю разные районы Алании, предпочтительно Махмутлар
‼️Комплекс только с инфраструктурой
‼️Обязательно вся техника в раб.состоянии

2 взрослых + приученный йорк🐕

До 1000$/мес.

✍️Пишите в лс",1
"🏠Сниму 2+1

👍На долгосрок
‼️Только с ВНЖ
‼️Рассматриваю разные районы Алании
‼️Комплекс только с инфраструктурой
‼️Обязательно вся техника в раб.состоянии

2 взрослых + приученный йорк🐕

До 1000$/мес.

✍️Пишите в лс",1
"Ищу 1+1 , под внж, оба / тосмур / демирташ 
Бюджет 500€, без комиссии, оплачу за 6 месяцев в перед. Жду варианты.",1
"Всем привет! Ищу квартиру 1+1, под ВНЖ, на долгий срок, 1 парень без вредных привычек.",1
"Нужна 1+1 в аренду с оплатой помесячно ближе к махмутлару
Пишите в личку",1
"🏠Сниму 1+1 или 2+1

👍На долгосрок
‼️Только с ВНЖ
‼️Алания, Газипаша
‼️Комплекс только с инфраструктурой
‼️Обязательно вся техника в раб.состоянии

2 взрослых + приученный йорк🐕

До 1000$/мес.

✍️Пишите в лс",1
"Махмутлар. Ищу 1+1 на месяц. Чтобы заехать можно было в кратчайшие сроки. Если сразу вообще отлично. Бюджет 700€, пишите",1
"Сниму квартиру 2+1 в Аланье или Анталье с 23.10 по 29.11, лучше с внж. Семья 2 взрослых+ 2 детей. Бюджет до 700$ Прошу присылать в лс локацию, фото, цену.",1
"🏠Сниму 1+1 или 2+1 или 3+1

👍На долгосрок
‼️Только с ВНЖ
‼️Район только в Алании
‼️Комплекс только с инфраструктурой
‼️Обязательно вся техника в раб.состоянии
👍Желательно недалеко от одного из рынков

2 взрослых(идеальные арендаторы👌) + приученный йорк🐕

До 800$/мес.

Предложения с ЦЕНОЙ, ФОТО и ЛОКАЦИЕЙ, пожалуйста в ЛС🙏",1
"‼️‼️‼️ Здравствуйте! СНИМЕМ  КВАРТИРУ любой район Аланьи 0+1, 1+1 бюджетную инфраструктура не нужна, от собственника, первичный ВНЖ имеется, будет продление. 
Бюджет до 7000 лир. (400 евро) 
О себе: семейная пара без детей, животных и вредных привычек. Чистоту, порядок и своевременную оплату гарантируем.👍",1
"🌺 #сниму квартиру
Парень и Девушка
Срок: от 3 месяцев 🏠 
с ВНЖ
Бюджет: до 800 $ 💵 
Варианты в личку. 
Спасибо 🙏🏼",1
"‼️‼️
Доброе утро
Ищу квартиру  2+1, либо 1+1
Хоть с завтрашнего дня🙂
На два месяца, возможно с продлением 
Рассмотрим вариант без ВНЖ и с ВНЖ
Предложения, в лс🙏🏼
#арендую #сниму",1
добрый день! сниму жилье с wi fi в Аланьи от месяца и выше желательно под внж до 1000$. предложения в личку. спасибо,1
"#сниму сниму квартиру в аланье. Без внж. На 2 месяца.
1 мужчина.
С хорошим ремонтом.
От собственника, без агентов.",1
"Доброе утро⭐️

Сниму квартиру в Алании/ махмутлар 2+1 или 3+1
на 1 месяц возможно с продлением 
Готовы к просмотрам   

Бюджет: до 900$ без комиссии
Предложения в личку",1
"‼️‼️‼️ Здравствуйте! СНИМЕМ  КВАРТИРУ любой район Аланьи 0+1, 1+1 от собственника, первичный ВНЖ имеется, будет продление. 
Бюджет до 7000 лир. (400 евро) 
О себе: семейная пара без детей, животных и вредных привычек. Чистоту, порядок и своевременную оплату гарантируем.👍",1
"Всем привет ⭐️

Сниму квартиру в Алании/ махмутлар 2+1 или 3+1
на 1 месяц возможно с продлением 
Готовы к просмотрам   

Бюджет: до 900$ без комиссии
Предложения в личку",1
"Добрый вечер⭐️

Сниму квартиру в Алании/ махмутлар 2+1 или 3+1
на 1 месяц возможно с продлением 
Готовы к просмотрам   

Бюджет: до 900$ без комиссии
Предложения в личку",1
"Добрый день 🌼

Сниму квартиру в Алании/ махмутлар 2+1 или 3+1
на 1 месяц возможно с продлением 
Готовы к просмотрам   

Бюджет: до 900$ без комиссии
Предложения в личку",1
"Сниму квартиру 1+1
Район: Махмутлар
Период: 2 месяца
Бюджет: 800$/месяц
Мебелированная + Wi-Fi",1
"Супружеская пара, ищем квартиру 1+1 в аренду в районе с возможностью получения внж на 1 год",1
"Сниму квартиру 3+1 на месяц 
БЕЗ ВНЖ
Не дорого. 
В личку",1
"Добрый день ! Ищу квартиру 1+1 
Район Махмутлар, Каргыджак,Кестель
Бюджет 600 €
Без комиссии , на 2-3 месяца",1
"Добрый вечер. Ищу квартиру с 8 октября на 2-3 месяца. Бюджет 500 евро.
Без комисси
Махмутлар,Каргыджак,Оба,Кестель",1
"Добрый день ! Ищу квартиру 1+1 
Район Махмутлар, Каргыджак,Кестель
Бюджет 500 €
Без комиссии , на 2-3 месяца с 8 октября",1
"Сниму квартиру или виллу 2 человека на длительный срок, цена до 1.500$",1
"Срочно #ищу #сниму

1+1 до 800 евро или 2+1 - 1000 €

Клиент в Аланье и готов сегодня уже снять квартиру

Будут жить жена с мужем 
Предоплату готовы внести за 2-3 месяца! 

Внж нужно",1
"Взрослая семья из двух человек ищет квартиру 1+1, без детей, без животных и вредных привычек, а музыку мы вообще не любим :). Анталья, аланья, газипаша и другие города, с ВНЖ на долгосрок или без ВНЖ квартиру на 1 месяц. Гарантируем честность и ответственность.",1
"Добрый вечер. Ищу квартиру с 8 октября на 2-3 месяца. Бюджет 500 евро.
Без комисси",1
Сниму квартиру 1+1 в серенити с октября (любое число) на 2 месяца.,1
Добрый день☀! Щас в Алании.2 человека. Ищем квартиру 1+1 или 1+2 с ВНЖ на год.,1
"Всем привет!! Ищем квартиру 2 взрослых и ребёнок 1+1 или 2+1 с ВНЖ, хороший интернет, до 1000м до моря, бюджет в районе 800$",1
"‼️‼️‼️ Здравствуйте! СРОЧНО СНИМЕМ  КВАРТИРУ любой район Аланьи 0+1, 1+1 от собственника, первичный ВНЖ имеется, будет продление. 
Бюджет 6000 лир. 
О себе: семейная пара без детей, животных и вредных привычек. Чистоту, порядок и своевременную оплату гарантируем.👍",1
"#сниму 
Сниму квартиру на долгосрок с мебелью и техникой (холодильник, кондиционер, wifi, стиральная машинка)
 ‼️ в районе под ВНЖ (желательно центр Алании, Тосмур, Оба) 

Аренда от нескольких месяцев. Количество комнат не имеет значения 

Бюджет до 600 евро

Пишите в личку с фото и стоимостью",1
"Ищем квартиру под ВНЖ на длительный срок.
2+1 в Алании и окрестностях
Семья м+ж, ребёнок, собака.
Бюджет до 1000€",1
Добрый вечер. Ищем квартиру 1+1 на 3 месяца. Готовы заезжать. Бюджет до 600 евро. Без комисии,1
"Срочно ищу в аренду 2+1 или 3+1 ЛЮКС 

1-2 линия от моря, Аланья центр или Оба! 

Бюджет 2100 ! 

На год!
Девушка и двое детей(9 и 14 лет)

Новый ремонт

Upd: 4+1 - 2500 евро",1
"Здравствуйте! 
Ищем квартиру для долгосрочной аренды в Алании, с возможностью сделать ВНЖ, для пары, платёжеспособные, с маленькой умной и воспитанной кошкой. Бюджет до 600€ 
#сниму",1
"Сниму 1+1 или 2+1 под ВНЖ обязательно(Тосмур, Оба, Алания) 
Все варианты - в лс
500-650€ варианты рассмотрю
Либо если кто может помочь с ВНЖ (не бесплатно) - в личные",1
"Добрый день
Снимем квартиру/виллу на 4 чел (взрослые, без детей) - 2+1 и больше под ВНЖ в любом открытом районе 
Хороший ремонт, желательно недалеко от моря
Бюджет обсуждаем",1
"Добрый день ! Ищу квартиру 1+1 на 2-3 месяца 
Без комиссии, бюджет до 500 евро",1
"Ищу в аренду на 2 месяца без внж, 2+1 для семьи, 2 взрослых, 2 детей. С 15 октября. Махмутлар. Варианты в лс.",1
"Здравствуйте, ищу квартиру 0+1, 1+1 под Внж
С начала октября на полгода
600-750€ 
Полная меблировка",1
Сниму комнату на длительный срок в районах с внж срочно,1
"Здравствуйте, ищу квартиру 1+1, 0+1 для семейной пары. В месте с развитой инфраструктурой, хорошим ремонтом и полной меблировкой. 
До 750€ в мес. На полгода
Только с ВНЖ!
Без комиссии",1
"Сниму квартиру в алании. Предложения, пожалуйста, в личку.",1
"#сниму квартиру Аланья
2+1 
Мы семейная пара с 2 питомцами (собака 8кг и кот)  
Любой район, где можно получить внж
Из необходимого: мебель, рабочий стол или место, где возможно его поставить, интернет, генератор, кондиционер.
Готовы заехать 7 ноября 
Бюджет 1000$",1
"Сниму 2 квартиры-район не важен. 500$ на долгосрочную аренду, 1+1 -1+2 варианты в Директ, спасибо.",1
"🌇Сниму 0+1, 1+1 долгосрок, до 5000 лир, район Махмутлар . Без комиссии. Своевременную оплату гарантирую.👍 Предложения в л. с.",1
"🌇Сниму 0+1, 1+1 долгосрок, до 5000 лир, район Махмутлар . Без комиссии и депозита. Своевременную оплату гарантирую.👍 Предложения в л. с.",1
Сниму квартиры 1+1и 2+1 на долгий срок с правом на внж,1
"Приветствую, ищу квартиру от Собственника. Жить буду один, исключительно на долгосрочную аренду. Местоположения не важно главное что в ранее (Алании,Махмутлар,Оба итд) 
Расчитывать буду на сумму 300-500$ месяц зависит от инфраструктуры и качество квартиры.

Будьте любезны с любыми вариантами пишите в личные сообщение буду рад посмотреть вашу квартиру! 

Реквизиты Тг@Fadizz",1
"Семья из 4 человек (2 взрослых, дети 7 и 5 лет) ищет квартиру в Алании на год для внж с 12 сентября",1
Сниму 1+1 или 2+1 квартиру в Аланье или недалеко от нее от собственника на 2 месяца. Предложения в ЛС.,1
"Ищем жилье. Кроме Каргыджака,Махмутлара,Кестеля и Авсаллара. 2+1,первый второй этаж, или отдельное жилье. Квартира нужна с конца сентября.  Аренда минимум на год.",1
"Всем привет. Ищу квартиру 1+1, 2+1 в центре Аланьи (Клеопатра, Шекерхане). 
Готовы заехать на днях. 
Пара ЖМ. 
Без детей и животных.",1
"СНИМЕМ КВАРТИРУ🏡 
с современным ремонтом
Пара👫 БЕЗ ❌животных и детей 
❗️на месяц-два❗️
1+1 или 2+1  ТОЛЬКО АЛАНЬЯ ЦЕНТР📍
БЕЗ ❌ ВНЖ 
Готовы оплатить и заехать, чем быстрее тем лучше. 
Пишите в личные сообщения 💌",1
"СНИМЕМ КВАРТИРУ🏡 современную, чистую, комфортную
Пара👫 БЕЗ животных и детей 
❗️На ДЛИТЕЛЬНЫЙ срок ❗️
1+1 или 2+1 АЛАНЬЯ ЦЕНТР📍 с продлением ВНЖ 
Бюджет 650 евро 💶 потолок в месяц. 
Готовы оплатить и заехать, чем быстрее тем лучше. 
Пишите в личные сообщения 💌",1
"Сдам квартиру можно и на краткий срок 
Квартира 2+1 в аренду в Алании Клеопатра на улице Ататюрк 250 м до ПТТ по главной дороге. 250 м до аквапарка, 300 м до моря. 3 этаж южный фасад Кале вид на канатную дорогу мебель очень новая 900 евро в месяц. Фото в лис",1
"СНИМУ КВАРТИРУ🏡👫
1+1 или 2+1 Аланья (Оба,Тосмур, Центр) на долгосрок с ВНЖ. 
Бюджет 💸 650 евро потолок в месяц. Писать в лс.",1
"Всем здравия! 
Ищу квартиру в Газипаше (не турецкий дом) на ДЛИТЕЛЬНЫЙ срок.
БЕЗ КОМИССИИ! 
Бюджет до 500 евро.
С предложениями и фотографиями обращаться в личные сообщения.",1
Ищу жилье минимум на год. 2+1 бюджет 500-600 долларов. Желательно от собственника,1
Ищу квартиру под внж 3+1 на долгий срок. Комплекс не старый.писать в личку.,1
"Здравствуйте! Ищу 2+1 или 3+1 ( с хорошим современным ремонтом) в ЖК с бассейном. Алания и Махмутлар. 
Расстояние до моря не критично , но и не в горах. 
Готовы заселиться завтра. На месяц .
Без комиссии ! 
Бюджет 1000$ +- 
Пишите в личку с фотографиями , заранее спасибо !",1
"Сниму квартиру в аренду на короткий срок 1+1 или 2+1 с инфраструктурой, с сегодняшнего дня на 3 недели. Бюджет До 50€ в сутки.",1
"#Сниму квартиру 2+1на сентябрь за 700 евро, близость к морю - не дальше 600 метров. без комиссии. Все предложения в личные сообщения.",1
Добрый день. Ищу квартиру в аренду с конца октября на год минимум. Около 600 долларов.,1
"Всем привет, ищу 4 кв 1+1 и 2+1 желательно в одном комплексе на долгий срок Алания, бюджет не более 600 € . Предложении в л/с.",1
Сниму квартиру 2+1 в Махмутларе в хорошем комплексе писать в личку,1
"Ищу квартиру 2+1 в Оба или в центре Аланьи бюджет 140к, расстояние до моря не больше 1км. За дополнительной информацией обращайтесь в личку.",1
"Всем добрый вечер!)Сниму квартиру формата 1+1 или студию в Алании с 29 июля по 29 октября в районе Оба, Тосмур или их окресностях. Оплата до 600 евро плюс коммунальные. Без комиссии. С предложениями пишите пожалуйста в личку",1
"Здравствуйте,ищу для себя квартиру 1+1 не в старом доме,не первый этаж,предпочтительные районы от Алании до Каргыджака,бюджет 80 000€,все приедложения пишите в лс, за ранее благодарю за внимание 🙏🙏🙏",1
"Здравствуйте, студент, ищу квартиру на сентябрь в районах Тосмур, Кестель, Оба, Махмутлар, на долгий срок, без посредника, вариант с арендой одной комнаты тоже рассматриваю",1
"Всем привет! Ищем квартиру на пару недель в середине августа в Аланье или Анталье. 1+1 или студию, чистую, опрятную. Семейная пара. Не курим, пьянки не устраиваем) Хотелось бы в центре или ближе к морю",1
"Ищу кв 1+1 на краткосрок, в ближайшее время , строго без комиссии до 30€ сутки",1
"сниму квартиру сегодня. на месяц. подходят разные районы, рассматрю предложения 
2+1 или 2+2 
до 700€",1
"Сниму квартиру 1+1 удаленность от моря не интересует , обычный дом  бюджет 5000 лир",1
"Ищу кв 1+1 на краткосрок, в этом месяце , строго без комиссии до 30€ сутки",1
"Ищу квартиру 2+1 или 1+1, не далеко от моря. Желательно в районах от Тосмура до Клеопатры.
На месяц, примерно с 15-20 июля. Проживать будет мама-учитель и двое детей подростков. 
Прошу, у кого есть предложения по адекватной цене, сразу с ценой за месяц и с фото мне в сообщения 🌸🌸🌸 благодарю",1
"Сниму квартиру 1+1, до 500€
На долгосрок (~1год) + внж",1
"Хочу остаться ещё на месяц в Аланье. Ищу квартиру 1+1 на июль в тихом зелёном месте рядом с морем,  район Кестель, Оба, Махмутлар. Ориентир цены 700.",1
"Ищу 2+1 только Махмутлар  
Аренда от года с внж
До 600€ +/-
Семейная пара
Писать в ЛС 
СРАЗУ ФОТО И ЛОКАЦИЮ",1
"Всех приветствую!
Ищу квартиру 1+1 в районе Махмутлар или Газипаше на долгий срок с 17 июня
Желательно с оформлением ВНЖ.
БЕЗ ПОСРЕДНИКОВ!
Бюджет: до 500 евро, с учётом долгого срока пребывания (минимум на полгода)
Один человек, без животных. Чистоту и порядок гарантирую. 
Писать в личные сообщения. Благодарю.",1
"Здравствуйте! Ищу квартиру 1+1, петсфрендли от собственника, Махмутлар, не далеко от моря с хорошим интернетом.",1
"#ищу Аренду от собственника 
Август+сентябрь 1+1 без ВНЖ
Махмутлар (начало), от Кестеля до Мигроса 
Бассейн,все необходимое для жизни (посудомойка,микроволновка итп) 
Будут проживать 2 человека,мои родители

Предложения в личку с фото и ценой",1
"Снимем 2+1/3+1 на год с ВНЖ, в центре Алании, наличие быстрого интернета обязательно, бюджет до 600€
Без комиссии
В ЛС",1
"Всем привет 🙋‍♀️ ищу 2+1 или 3+1 на месяц для своей семью, прилетают 1 июля. Нужна квартира в комплексе премиум класса, со всей инфраструктурой в новом доме. Бюджет открыт. Предпочтительные районы Клеопатра и центр но готовы рассмотреть другие варианты 😊 спасибо",1
"Ищем квартиру или комнату с 27.05 сроком на 15 дней (бюджет 250$) 
Пара без вредных привычек и животных.
Важно: кухня и стиральная машина)",1
Ищу 2 квартиры в одном комплексе на июль- август. 🙌,1
"Добрый день, ищу квартиру 2+1 для себя с инфраструктурой ( бассейн, сауна, фитнес) на 2 месяца. Может есть у кого знакомые?",1
"Август, сентябрь, октябрь 
Сниму жильё в махмутларе
1+1 
Муж, жена, ребёнок маленький 
Оплатить сразу за 3 месяца можем. 
Желательно только через собчтвенников. Был плохой опыт через агентов",1
"Добрый день!

#Сниму 2+1 для ВНЖ на полгода, помесячная оплата!!! 
Предпочтительно в комплексах Serenity, Konak, Kurt Safir, Yekta, Elite life, My Marine, Gold sun, Tores, Alden 3, Sultan vip, Orange city , Azura park или другом комплексе с хорошей инфраструктурой. 

Важен свежий ремонт, бытовая техника  (плита, духовка, микроволновка, посудомоечная и стиральная машины), наличие бассейна, хороший Wi-Fi. Семья 2 взр+2 детей (5 лет и 1 год).
Готовы к просмотру.  Готовы заехать в ближайшее время.",1
"Сниму 1+1 или 1+0
Махмутлар 
Максимум 650€, выше не предлагать!
Долгосрок с ВНЖ только! 
Жду ваши предложения с фото в личные",1
Сниму квартиру на длительный срок. Только Махмутлар. 1+1 или студия. 600-650€. Под ВНЖ. Не турецкий дом.,1
"Здравствуйте, сниму квартиру 1+1 на пол года - год. Рассматриваю районы Оба, Кестель, Тосмур, Махмутлар. Обязательно под ВНЖ.
Желаемый бюджет 600-650€. За исключением готов оплачивать 700€. 

Жду Ваших. предложений, заранее благодарю.",1
Ищу квартиру недалеко от центра. 1+1 . Бюджет до 600$.,1
"Сниму комнату или квартиру (1+1; 0+1) желательно до 2700 лир/мес на долгосрочный период, рассматриваю все варианты от Алании до Махмутлара",1
"Коллеги! Очень нужна квартира в Махмутлар на долгий срок 2+1 в хорошем комплексе!! (Конак, Торос, Алара итд)  Недалеко от моря!",1
"Снимем квартиру 1+1 в Махмутларе с 16.04 на 3 месяца
Муж, жена, кот (ходит в лоток, мебель не трогает)
Важно наличие быстрого интернета, хороший ремонт, наличие техники
Бюджет до 700 евро",1
"Снимем квартиру 1+1 или другое до 5500 лир в месяц, с минимальной мебелью",1
"Сниму студию или 1+1
Бюджет до 400евро.",1
"Сниму на долгосрок квартиру 1+1, 2+1
 Махмутлар, каргыджак.
В лс",1
"Здравствуйте, ищем квартиру 3+1, будем рады помощи.",1
"Добрый день! Снимем квартиру на долгий срок от года, молодая пара. 1+1, до 500 евро. 
Просьба писать в лс",1
"Сниму квартиру в районе Махмутлар на долгий срок. Под ВНЖ. Семья двое взрослых, двое детей. До 600€. Предложения в личку.",1
"☺️ Здравствуйте ищем квартиру 2+1 3+1
для семьи 
(можно без мебели) разные районы у берега 
До 42.000€ 
Если есть предложения пишите в личные сообщения",1
"#СНИМУ #ИЩУ
Молодая семья ищет квартиру: 
• 2+1 в Махмутларе или в Алании
• На длительный срок 
• С 16го апреля 
• Бюджет: 400-500€
• Чем ближе к морю, тем лучше 
• Старые квартиры в старых домах не подходят 
• От собственника, без комиссии 
• С возможностью оформить ВНЖ

Пожалуйста, присылайте в личку сразу фото, локацию и условия аренды! Благодарю ☺️",1
"Здравствуйте,  срочно ищем квартиру в аренду примерно до 31 марта, 1+1 или 2+1. Буду благодарна за информацию в ЛС 🙏",1
"Квартирка найдись🙏 Сниму ,чистую квартиру 1+1 в Анталии, (Алании-центр!)на долгий срок, желательно от собственников, не по стоимости краткосрочного жилья. 
P. S.:на данный момент живем в Анталии. Предложения, пожалуйста в личку.",1
"Добрый день, мы, парень и девушка, ищем квартиру на 2 месяца с Wifi. Бюджет в районе 400$ в месяц(800$ за 2 месяца) + ку.
О себе: мы из Беларуси с ВНЖ, не курим, не шумим, не мусорим.
Сейчас находимся на схемной квартире в Алании, то есть возможна встреча(обсудить детали, посмотреть квартиру).
Будем благодарны за ваши предложения🙂",1
"Сниму чистую квартиру с ремонтом, в Алании - Центр(ближе к морю Клеопатра""),
либо в Анталии(Коньяалты-Гюрсу,Алтынкум) ближе к побережью на долгий срок, желательно от собственников. За адекватную стоимость.
Семейная пара без детей, животных.  Предложения, пожалуйста в личку.",1
"Добрый день.
Ищем квартиру в Алании, 4+1 для семьи, 6 взрослых! 
Срочно нужно! 
Я с мужем сейчас в Анталии, родители с сестрой и братом приедут 15.03.
На срок: 2 месяца точно !
Посоветуйте риелтора пожалуйста ! 🙏
Благодарю 💙💛",1
Сниму квартиру за 3000 лир в Махмутларе от хозяина 1+1,1
"Семья 2 взрослых и 2 детей снимет квартиру 2+1 (желательно с инфраструктурой) в Аланье, Махмутларе и близлежащих районах с 16 марта на 1-2 месяца. рассмотрим все варианты",1
"Ищем квартиру 2+1 в районе Клеопатры или поблизости. 
На длительный срок.",1
"Здравствуйте. Молодая семейная пара из Украины без вредных привычек, детей и животных арендует квартиру 1+1 на 3 месяца. Без комиссии. Возможно продление и ВНЖ. Бюджет 4500 лир. Прилетаем 3 марта.",1
"Ищу квартиру для себя до 250 евро/мес, на долгий срок 1год+, расстояние до моря любое, с оформлением ВНЖ
Махмутлар, Кестель, Оба, Конакли, и пр. От собственника
Рассмотрю все варианты.",1
"Ребята всем привет👋
Нужна срочно квартира 1+1
Аланья, Оба или Махмутлар
На долгий срок.
Цена 3000 - 3500 Лир + Депозит.
Пишите в личку.",1
"Здравствуйте! Меня зовут Марина. Приехала в Анталию. Хотела бы приехать в Аланию, рассмотреть квартиры на долгосрок и познакомиться с местностью:)",1
"Сниму чистую квартиру с ремонтом, с wi-fi в Алании - Центр(ближе к морю) на долгий срок от собственников, без комиссии. За адекватную стоимость.
Семейная пара без детей, животных.  Предложения, пожалуйста, с фото в личку.",1
